ROI Label,input_roi,output_roi,mapped_indices
61,17Networks_LH_SomMotA_12,7Networks_LH_SomMot_30,35
62,17Networks_LH_SomMotA_13,7Networks_LH_SomMot_31,36
63,17Networks_LH_SomMotA_14,7Networks_LH_SomMot_32,37
64,17Networks_LH_SomMotA_15,7Networks_LH_SomMot_33,38
65,17Networks_LH_SomMotA_16,7Networks_LH_SomMot_34,39
66,17Networks_LH_SomMotA_17,7Networks_LH_SomMot_35,40
67,17Networks_LH_SomMotA_18,7Networks_LH_SomMot_36,41
68,17Networks_LH_SomMotA_19,7Networks_LH_SomMot_37,42
69,17Networks_LH_DorsAttnA_TempOcc_1,7Networks_LH_DorsAttn_Post_1,59
70,17Networks_LH_DorsAttnA_TempOcc_3,7Networks_LH_DorsAttn_Post_2,61
71,17Networks_LH_ContA_Temp_1,7Networks_LH_DorsAttn_Post_3,120
72,17Networks_LH_DorsAttnA_ParOcc_1,7Networks_LH_DorsAttn_Post_4,63
73,17Networks_LH_DorsAttnA_SPL_1,7Networks_LH_DorsAttn_Post_5,65
74,17Networks_LH_DorsAttnB_PostC_3,7Networks_LH_DorsAttn_Post_6,74
75,17Networks_LH_DorsAttnA_SPL_3,7Networks_LH_DorsAttn_Post_7,67
76,17Networks_LH_DorsAttnB_PostC_4,7Networks_LH_DorsAttn_Post_8,75
77,17Networks_LH_ContA_IPS_5,7Networks_LH_DorsAttn_Post_9,125
78,17Networks_LH_DorsAttnA_SPL_4,7Networks_LH_DorsAttn_Post_10,68
79,17Networks_LH_DorsAttnB_PostC_5,7Networks_LH_DorsAttn_Post_11,76
80,17Networks_LH_DorsAttnA_SPL_5,7Networks_LH_DorsAttn_Post_12,69
81,17Networks_LH_DorsAttnA_SPL_6,7Networks_LH_DorsAttn_Post_13,70
82,17Networks_LH_DorsAttnA_SPL_7,7Networks_LH_DorsAttn_Post_14,71
83,17Networks_LH_DorsAttnB_PostC_7,7Networks_LH_DorsAttn_Post_15,78
84,17Networks_LH_DorsAttnB_PostC_8,7Networks_LH_DorsAttn_Post_16,79
85,17Networks_LH_DorsAttnB_PostC_9,7Networks_LH_DorsAttn_Post_17,80
86,17Networks_LH_DorsAttnB_FEF_1,7Networks_LH_DorsAttn_FEF_1,81
87,17Networks_LH_DorsAttnB_FEF_2,7Networks_LH_DorsAttn_FEF_2,82
88,17Networks_LH_DorsAttnB_FEF_3,7Networks_LH_DorsAttn_FEF_3,83
89,17Networks_LH_ContA_PFCd_1,7Networks_LH_DorsAttn_FEF_4,126
90,17Networks_LH_ContA_PFCl_1,7Networks_LH_DorsAttn_PrCv_1,129
91,17Networks_LH_DorsAttnB_PrCv_1,7Networks_LH_DorsAttn_PrCv_2,84
92,17Networks_LH_SalVentAttnA_ParOper_1,7Networks_LH_SalVentAttn_ParOper_1,85
93,17Networks_LH_SalVentAttnA_ParOper_2,7Networks_LH_SalVentAttn_ParOper_2,86
94,17Networks_LH_DorsAttnB_PostC_1,7Networks_LH_SalVentAttn_ParOper_3,72
95,17Networks_LH_SalVentAttnA_ParOper_3,7Networks_LH_SalVentAttn_ParOper_4,87
96,17Networks_LH_TempPar_5,7Networks_LH_SalVentAttn_TempOcc_1,198
97,17Networks_LH_LimbicA_TempPole_7,7Networks_LH_SalVentAttn_FrOperIns_1,119
98,17Networks_LH_SalVentAttnA_Ins_1,7Networks_LH_SalVentAttn_FrOperIns_2,88
99,17Networks_LH_SalVentAttnB_Ins_2,7Networks_LH_SalVentAttn_FrOperIns_3,104
100,17Networks_LH_SalVentAttnA_Ins_2,7Networks_LH_SalVentAttn_FrOperIns_4,89
101,17Networks_LH_SalVentAttnA_Ins_3,7Networks_LH_SalVentAttn_FrOperIns_5,90
102,17Networks_LH_SalVentAttnA_Ins_4,7Networks_LH_SalVentAttn_FrOperIns_6,91
103,17Networks_LH_SalVentAttnB_Ins_3,7Networks_LH_SalVentAttn_FrOperIns_7,105
104,17Networks_LH_SalVentAttnA_FrOper_1,7Networks_LH_SalVentAttn_FrOperIns_8,92
105,17Networks_LH_SalVentAttnA_FrOper_2,7Networks_LH_SalVentAttn_FrOperIns_9,93
106,17Networks_LH_SalVentAttnB_PFCl_2,7Networks_LH_SalVentAttn_PFCl_1,101
107,17Networks_LH_SalVentAttnB_PFCmp_1,7Networks_LH_SalVentAttn_Med_1,107
108,17Networks_LH_SalVentAttnA_FrMed_1,7Networks_LH_SalVentAttn_Med_2,97
109,17Networks_LH_SalVentAttnA_ParMed_1,7Networks_LH_SalVentAttn_Med_3,94
110,17Networks_LH_SalVentAttnA_FrMed_2,7Networks_LH_SalVentAttn_Med_4,98
111,17Networks_LH_SalVentAttnA_ParMed_2,7Networks_LH_SalVentAttn_Med_5,95
112,17Networks_LH_SalVentAttnA_ParMed_3,7Networks_LH_SalVentAttn_Med_6,96
113,17Networks_LH_SalVentAttnA_FrMed_3,7Networks_LH_SalVentAttn_Med_7,99
114,17Networks_LH_LimbicB_OFC_1,7Networks_LH_Limbic_OFC_1,108
115,17Networks_LH_LimbicB_OFC_2,7Networks_LH_Limbic_OFC_2,109
116,17Networks_LH_LimbicB_OFC_3,7Networks_LH_Limbic_OFC_3,110
117,17Networks_LH_LimbicB_OFC_4,7Networks_LH_Limbic_OFC_4,111
118,17Networks_LH_LimbicB_OFC_5,7Networks_LH_Limbic_OFC_5,112
119,17Networks_LH_LimbicA_TempPole_1,7Networks_LH_Limbic_TempPole_1,113
120,17Networks_LH_LimbicA_TempPole_2,7Networks_LH_Limbic_TempPole_2,114
121,17Networks_LH_LimbicA_TempPole_3,7Networks_LH_Limbic_TempPole_3,115
122,17Networks_LH_LimbicA_TempPole_4,7Networks_LH_Limbic_TempPole_4,116
123,17Networks_LH_LimbicA_TempPole_5,7Networks_LH_Limbic_TempPole_5,117
124,17Networks_LH_DefaultB_Temp_1,7Networks_LH_Limbic_TempPole_6,166
125,17Networks_LH_LimbicA_TempPole_6,7Networks_LH_Limbic_TempPole_7,118
126,17Networks_LH_DefaultC_PHC_1,7Networks_LH_Limbic_TempPole_8,191
127,17Networks_LH_ContA_IPS_1,7Networks_LH_Cont_Par_1,121
128,17Networks_LH_ContA_IPS_2,7Networks_LH_Cont_Par_2,122
129,17Networks_LH_ContB_IPL_2,7Networks_LH_Cont_Par_3,136
